session_id;stem;folder;activity_type;cp;weight;duration_sec;avg_power_ratio;max_power_ratio;avg_30_ratio;avg_60_ratio;pct_above_cp;start_ratio;end_ratio;effort_window_seconds;effort_min_cp_pct;effort_merge_pct;trim_window;extend_window;trim_start_power_ratio;trim_end_power_ratio;extend_before_power_ratio;extend_after_power_ratio;valley_count;valley_max_dur_sec;valley_time_ratio;overlap_count;max_overlap_ratio;contains_other_count;is_contained_by_other;gold_overlap_count;keep_label;start_delta_sec;end_delta_sec
49cbaa8f-76eb-4a51-b6c1-3aaeaaf9491b;Castellania;data\archive\Castellania 2026\OM;road;250.0;60.0;484.0;1.025682474226804;2.132;1.0225733882030177;1.0133467764060358;0.5720164609053497;0.5198630136986301;0.5863013698630137;60.0;100.0;15.0;10.0;15.0;1.1633229873596862;0.8669349651024413;0.477080720036881;0.7022316211551038;27.0;5.0;0.09670781893004116;0.0;0.0;0.0;0.0;1.0;1;-3.0;-9.0
49cbaa8f-76eb-4a51-b6c1-3aaeaaf9491b;Castellania;data\archive\Castellania 2026\OM;road;250.0;60.0;89.0;1.0693777777777778;1.64;1.0293728937728936;0.989339194139194;0.6263736263736264;0.6178082191780822;0.6301369863013698;60.0;100.0;15.0;10.0;15.0;0.9268941440505383;0.9306346369643823;0.5727941482066414;0.45434520593491545;4.0;1.0;0.04395604395604396;0.0;0.0;0.0;0.0;1.0;1;0.0;0.0
49cbaa8f-76eb-4a51-b6c1-3aaeaaf9491b;Castellania;data\archive\Castellania 2026\OM;road;250.0;60.0;119.0;1.0352666666666666;1.748;1.021763085399449;0.9888253443526172;0.5619834710743802;0.7356164383561644;0.7520547945205479;60.0;100.0;15.0;10.0;15.0;0.9578208513104515;0.9670938244574667;0.7402923562367184;0.7086096979844163;2.0;2.0;0.024793388429752067;0.0;0.0;0.0;0.0;1.0;1;7.0;8.0
49cbaa8f-76eb-4a51-b6c1-3aaeaaf9491b;Castellania;data\archive\Castellania 2026\OM;road;250.0;60.0;184.0;1.0420324324324324;2.424;1.008978494623656;0.9773763440860215;0.5806451612903226;0.9219178082191781;0.9472602739726027;60.0;100.0;15.0;10.0;15.0;1.322031788189401;1.0210814624227083;0.26691427701926934;0.46140598414740425;4.0;3.0;0.043010752688172046;0.0;0.0;0.0;0.0;1.0;1;-2.0;-1.0
49cbaa8f-76eb-4a51-b6c1-3aaeaaf9491b;Castellania;data\archive\Castellania 2026\OM;road;250.0;60.0;74.0;1.1123733333333332;1.472;1.0921754385964915;1.0472640350877196;0.7236842105263158;0.9595890410958904;0.9698630136986301;60.0;100.0;15.0;10.0;15.0;1.0151268159370956;0.8687730737881767;0.5971616243946877;0.7165460037397517;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;-6.0;1.0
60f0c0a1-730d-4b6e-ac01-52d6c5ff26fc;i138868714_Giro_della_Castellania;data\archive\Castellania 2026\ROS;road;235.0;53.0;369.0;1.0849913743530764;1.9234042553191488;1.0786977882280973;1.0701640190399724;0.6738544474393531;0.0999000999000999;0.15270443841872414;60.0;100.0;15.0;10.0;15.0;1.1628683485266058;0.886368454526182;0.7985160059359763;0.6045085152992721;14.0;5.0;0.06199460916442048;0.0;0.0;0.0;0.0;1.0;1;0.0;-3.0
60f0c0a1-730d-4b6e-ac01-52d6c5ff26fc;i138868714_Giro_della_Castellania;data\archive\Castellania 2026\ROS;road;235.0;53.0;64.0;1.1044844517184944;1.7702127659574467;1.0373092628411777;0.9634021061680637;0.6818181818181818;0.16483516483516483;0.17411160268303125;60.0;100.0;15.0;10.0;15.0;0.9080967340406614;1.0587398494457945;0.581510679074546;0.32799873550273645;1.0;1.0;0.015151515151515152;0.0;0.0;0.0;0.0;1.0;1;0.0;0.0
60f0c0a1-730d-4b6e-ac01-52d6c5ff26fc;i138868714_Giro_della_Castellania;data\archive\Castellania 2026\ROS;road;235.0;53.0;74.0;1.016;1.8680851063829786;0.9729749906681597;0.9182913400522582;0.5131578947368421;0.1848151848151848;0.19551876694733838;60.0;100.0;15.0;10.0;15.0;0.9155637460211091;1.0403752722399062;0.6600770648349807;0.43614229072429783;4.0;2.0;0.07894736842105263;0.0;0.0;0.0;0.0;1.0;1;8.0;0.0
60f0c0a1-730d-4b6e-ac01-52d6c5ff26fc;i138868714_Giro_della_Castellania;data\archive\Castellania 2026\ROS;road;235.0;53.0;29.0;1.1148936170212767;2.6723404255319148;1.056197666437886;0.9011370395790436;0.5806451612903226;0.23976023976023977;0.2440416726131012;60.0;100.0;15.0;10.0;15.0;1.0702290076335876;0.882824427480916;0.7190839694656489;0.6363867684478371;3.0;3.0;0.22580645161290322;0.0;0.0;0.0;0.0;1.0;1;4.0;6.0
60f0c0a1-730d-4b6e-ac01-52d6c5ff26fc;i138868714_Giro_della_Castellania;data\archive\Castellania 2026\ROS;road;235.0;53.0;239.0;1.097695035460993;2.748936170212766;1.084345369471175;1.068192225066949;0.5269709543568465;0.282574568288854;0.3168260311117454;60.0;100.0;15.0;10.0;15.0;1.360684865126797;0.845485382006138;0.6662574705217251;0.6680665482151511;17.0;11.0;0.21161825726141079;0.0;0.0;0.0;0.0;2.0;1;157.0;3.0
60f0c0a1-730d-4b6e-ac01-52d6c5ff26fc;i138868714_Giro_della_Castellania;data\archive\Castellania 2026\ROS;road;235.0;53.0;49.0;1.047659574468085;2.5148936170212766;0.8909192045612573;0.7874245584758728;0.37254901960784315;0.3596403596403596;0.3667760810617953;60.0;100.0;15.0;10.0;15.0;1.9581640942323317;1.0617384240454915;0.15001353912808016;0.4465204440834011;6.0;7.0;0.3333333333333333;0.0;0.0;0.0;0.0;1.0;1;0.0;6.0
60f0c0a1-730d-4b6e-ac01-52d6c5ff26fc;i138868714_Giro_della_Castellania;data\archive\Castellania 2026\ROS;road;235.0;53.0;99.0;1.1532765957446807;2.902127659574468;1.1147405378835757;1.0732385366196193;0.6138613861386139;0.4124446981589839;0.4267161410018553;60.0;100.0;15.0;10.0;15.0;0.988118958010479;1.0427274739871597;0.6260300592822178;0.5896243819644308;7.0;3.0;0.09900990099009901;0.0;0.0;0.0;0.0;1.0;1;-28.0;-2.0
60f0c0a1-730d-4b6e-ac01-52d6c5ff26fc;i138868714_Giro_della_Castellania;data\archive\Castellania 2026\ROS;road;235.0;53.0;59.0;1.1120567375886523;2.7702127659574467;1.011587024764562;0.8906789908150217;0.45901639344262296;0.43670615099186527;0.4452690166975881;60.0;100.0;15.0;10.0;15.0;1.3878826530612245;1.0507653061224491;0.5502551020408164;0.12729591836734694;7.0;7.0;0.36065573770491804;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0
60f0c0a1-730d-4b6e-ac01-52d6c5ff26fc;i138868714_Giro_della_Castellania;data\archive\Castellania 2026\ROS;road;235.0;53.0;19.0;1.3995744680851063;1.9361702127659575;1.1874501857480582;0.9145592705167174;0.8571428571428571;0.44955044955044954;0.4524047381190238;60.0;100.0;15.0;10.0;15.0;0.936150805716023;1.0389176041349955;0.5497111584068106;0.44248505118070336;1.0;1.0;0.047619047619047616;0.0;0.0;0.0;0.0;1.0;1;0.0;0.0
